Date,Punjab,Sindh,KPK,Balochistan,Gilgit-Baltistan,Azad Kashmir,Islamabad,Confirmed,Deaths,Recovered,Tests
1-Jun,"27,850","29,647","10,485","4,448",738,271,"2,893","3,872",78,"1,027","16,838"
2-Jun,"29,489","31,086","10,897","4,853",779,284,"3,188","4,244",67,"1,813","17,370"
3-Jun,"31,104","31,869","11,373","5,354",824,285,"3,544","3,777",82,"1,205","20,167"
4-Jun,"33,144","33,536","11,890","5,582",852,299,"3,946","4,896",68,"1,070","22,812"
5-Jun,"35,308","34,889","12,459","5,776",897,331,"4,323","4,734",97,"1,383","22,185"
6-Jun,"37,090","36,364","13,001","6,221",927,361,"4,979","4,960",67,884,"23,100"
7-Jun,"38,903","38,108","13,487","6,516",932,396,"5,329","4,728",65,890,"22,225"
8-Jun,"40,819","39,555","14,006","6,788",952,412,"5,785","4,646",105,663,"24,620"
9-Jun,"43,460","41,303","14,527","7,031",974,444,"5,963","5,385",83,"1,290","23,799"
10-Jun,"45,463","43,790","15,206","7,335","1,018",488,"6,236","5,834",101,"2,083","26,573"
11-Jun,"47,382","46,828","15,787","7,673","1,030",534,"6,699","6,397",107,"1,856","28,344"
12-Jun,"50,087","49,256","16,415","7,866","1,044",574,"7,163","6,472",88,"9,809","29,850"
13-Jun,"52,601","51,518","17,450","8,028","1,095",604,"7,934","6,825",81,"1,679","29,546"
14-Jun,"54,138","53,805","18,013","8,177","1,129",647,"8,569","5,248",96,"1,986","29,085"
15-Jun,"55,878","55,581","18,472","8,327","1,143",663,"8,857","4,443",111,"2,669","25,015"
16-Jun,"58,239","57,868","19,107","8,437","1,164",703,"9,242","5,839",136,"2,047","28,117"
17-Jun,"60,138","59,983","19,613","8,794","1,213",740,"9,637","5,358",118,778,"31,230"
18-Jun,"61,678","62,269","20,182","8,998","1,225",769,"9,941","4,944",136,"2,168","29,094"
19-Jun,"64,216","65,163","20,790","9,162","1,253",803,"10,279","6,604",153,"2,121","31,681"
20-Jun,"65,739","67,353","21,444","9,328","1,278",813,"10,662","4,951",119,"4,388","28,855"
21-Jun,"66,943","69,628","21,997","9,475","1,288",845,"10,912","4,471",89,"3,566","30,520"
22-Jun,"68,308","71,092","22,633","9,587","1,326",869,"11,219","3,946",105,"2,283","24,599"
23-Jun,"69,536","72,656","23,388","9,634","1,337",892,"11,483","3,892",60,"4,013","23,380"
24-Jun,"71,191","74,070","23,887","9,817","1,365",930,"11,710","4,044",148,"3,553","21,835"
25-Jun,"71,987","75,168","24,303","9,946","1,398",962,"11,981","2,775",58,"2,861","21,041"
26-Jun,"72,880","76,318","24,943","10,116","1,417","1,003","12,206","3,138",74,"2,738","21,123"
27-Jun,"74,202","78,267","25,380","10,261","1,423","1,027","12,395","4,072",83,"5,718","25,013"
28-Jun,"74,778","80,446","25,778","10,355","1,442","1,049","12,643","3,536",68,"2,783","23,009"
29-Jun,"75,501","81,985","26,115","10,426","1,470","1,065","12,775","2,846",118,"3,096","20,930"
30-Jun,"76,262","84,640","26,598","10,476","1,489","1,093","12,912","4,133",91,"2,299","22,418"
1-Jul,"77,740","86,795","26,938","10,608","1,511","1,135","13,082","4,339",78,"3,892","22,128"
2-Jul,"78,956","89,225","27,170","10,666","1,524","1,160","13,195","4,087",78,"8,929","23,135"
3-Jul,"80,297","90,721","27,506","10,717","1,536","1,214","13,292","3,387",68,"11,471","22,052"
4-Jul,"81,317","92,306","27,843","10,766","1,545","1,288","13,409","3,191",93,"4,736","25,527"
5-Jul,"81,963","94,528","28,116","10,814","1,561","1,342","13,494","3,344",50,"1,819","22,271"
6-Jul,"82,669","96,236","28,236","10,841","1,587","1,383","13,557","2,691",77,"3,308","24,530"
7-Jul,"83,599","97,626","28,681","10,919","1,595","1,419","13,650","2,980",83,"6,008","21,951"
8-Jul,"84,587","99,362","29,052","11,052","1,605","1,459","13,731","3,359",61,"4,346","24,333"
9-Jul,"85,261","100,900","29,406","11,099","1,619","1,485","13,829","2,751",75,"3,781","23,421"
10-Jul,"85,991","102,368","29,775","11,128","1,630","1,532","13,927","2,752",65,"4,042","23,569"
11-Jul,"86,556","103,820","30,078","11,157","1,658","1,564","14,023","2,505",74,"3,566","24,211"
12-Jul,"87,043","105,533","30,486","11,185","1,671","1,599","14,108","2,769",73,"5,217","22,532"
13-Jul,"87,492","106,622","30,747","11,192","1,694","1,655","14,202","1,979",49,"8,739","21,020"
14-Jul,"88,045","107,773","31,001","11,239","1,708","1,688","14,315","2,165",67,"2,154","21,749"
15-Jul,"88,539","108,913","31,217","11,322","1,750","1,771","14,402","2,145",40,"5,927","24,244"
16-Jul,"89,023","110,068","31,486","11,385","1,775","1,808","14,454","2,085",49,"5,000","23,907"
17-Jul,"89,465","111,238","31,669","11,405","1,796","1,840","14,504","1,918",47,"14,772","23,011"
18-Jul,"89,793","112,118","31,890","11,424","1,807","1,888","14,576","1,579",46,"5,767","22,559"
19-Jul,"90,191","113,007","32,086","11,436","1,849","1,915","14,599","1,587",31,"1,653","19,108"
20-Jul,"90,444","113,553","32,243","11,441","1,868","1,922","14,625","1,013",40,"2,101","17,783"
21-Jul,"90,816","114,104","32,523","11,469","1,878","1,937","14,701","1,332",38,"2,438","18,331"
22-Jul,"91,129","115,213","32,753","11,517","1,896","1,961","14,722","1,763",32,"2,707","22,408"
23-Jul,"91,423","115,883","32,898","11,523","1,918","1,989","14,766","1,209",54,"6,608","22,006"
24-Jul,"91,691","116,800","33,071","11,550","1,942","2,012","14,821","1,487",24,"16,813","23,630"
25-Jul,"91,901","117,598","33,220","11,578","1,952","2,023","14,841","1,226",35,838,"23,254"
26-Jul,"92,073","118,311","33,397","11,601","1,989","2,034","14,884","1,176",20,"3,592","22,056"
27-Jul,"92,279","118,824","33,510","11,624","2,010","2,040","14,938",936,23,"1,410","19,610"
28-Jul,"92,452","119,398","33,724","11,654","2,042","2,055","14,963","1,063",27,"2,447","21,256"
29-Jul,"92,655","120,052","33,845","11,708","2,090","2,065","14,987","1,114",32,"1,248","21,628"
30-Jul,"92,873","120,550","33,958","11,732","2,105","2,073","15,014",903,27,"2,447","20,507"
31-Jul,"93,057","121,039","34,056","11,743","2,134","2,084","15,033",841,19,850,"22,930"
